tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
212,0.12692965252335928,0.06809701511798476,-0.006540497107890841,0.2603998021546094,91,-0.054945054945054944,0.10525002195497712,-0.2612350979768101,0.15134498808670022,AUD_USD,7,22,44,22,cloud_break,short,303
62,-0.06451612903225806,0.12777013614329807,-0.31494559587312226,0.18591333780860614,28,0.14285714285714285,0.1904761904761905,-0.2304761904761905,0.5161904761904762,AUD_USD,7,22,44,22,tk_cross_above_cloud,long,90
66,-0.018038823398296582,0.12310553933216299,-0.259325680489336,0.22324803369274288,29,-0.10344827586206896,0.1879683155501371,-0.4718661743403377,0.2649696226161998,AUD_USD,7,22,44,22,tk_cross_above_cloud,short,95
109,0.09078199429792838,0.09516781206440969,-0.09574691734831461,0.2773109059441714,47,-0.10638297872340426,0.14660525687813158,-0.3937292822045421,0.18096332475773363,AUD_USD,12,30,60,30,tk_cross,long,156
114,-0.15789473684210525,0.09289204182444648,-0.3399631388180203,0.024173665133809835,49,-0.061224489795918366,0.144066793092159,-0.34359540425655,0.22114642466471324,AUD_USD,12,30,60,30,tk_cross,short,163
210,0.0785086978099866,0.06834816295432164,-0.05545370158048382,0.212471097200457,91,-0.06582399208552098,0.10459866653366405,-0.2708373784915025,0.13918939432046057,AUD_USD,12,30,60,30,cloud_break,long,301
198,-0.03631597143579583,0.07102634276606103,-0.17552760325727546,0.10289566038568378,86,0.023255813953488372,0.10843589416128402,-0.18927853860262828,0.23579016650960505,AUD_USD,12,30,60,30,cloud_break,short,284
51,0.05270570800337561,0.14049165670637648,-0.2226579391411223,0.3280693551478735,23,-0.21739130434782608,0.20810192223064325,-0.6252710719198868,0.19048846322423466,AUD_USD,12,30,60,30,tk_cross_above_cloud,long,74
54,0.07407407407407407,0.13698319904900533,-0.19441299606197637,0.3425611442101245,24,-0.25,0.2018932132718121,-0.6457106980127516,0.14571069801275166,AUD_USD,12,30,60,30,tk_cross_above_cloud,short,78
143,0.07885592275608747,0.08159773826014008,-0.08107564423378708,0.238787489745962,62,0.04495891578544916,0.11095323850899676,-0.17250943169218447,0.2624272632630828,USD_CAD,9,26,52,26,tk_cross,long,205
137,-0.02601064559749042,0.0830081287381888,-0.18870657792434048,0.13668528672935965,60,-0.12911598138909952,0.1176225217261597,-0.3596561239723725,0.10142416119417347,USD_CAD,9,26,52,26,tk_cross,short,197
197,0.04338374392368785,0.06867541617277634,-0.09122007177495378,0.17798755962232948,85,0.031647931054848484,0.09603495022984673,-0.15658057139565112,0.21987643350534808,USD_CAD,9,26,52,26,cloud_break,long,282
206,0.05872937126536645,0.06724381283917868,-0.07306850189942377,0.19052724443015667,89,-0.18380077720778795,0.08984822110324354,-0.3599032905701453,-0.007698263845430597,USD_CAD,9,26,52,26,cloud_break,short,295
72,-0.020093950464071832,0.11499124723649626,-0.2454767950476045,0.20528889411946083,32,-0.03251907667339617,0.14826531081915514,-0.3231190858789402,0.2580809325321479,USD_CAD,9,26,52,26,tk_cross_above_cloud,long,104
61,-0.009297919972880623,0.12570334767550348,-0.25567648141686744,0.2370806414711062,27,-0.0915243229636305,0.1738296456619486,-0.43223042846104975,0.24918178253378875,USD_CAD,9,26,52,26,tk_cross_above_cloud,short,88
151,0.05743062765598674,0.07908231782909364,-0.09757071528903677,0.21243197060101027,65,-0.07837864518038848,0.11197599302938913,-0.2978515915179911,0.1410943011572142,USD_CAD,7,22,44,22,tk_cross,long,216
153,-0.020817835864780983,0.07829425479043028,-0.17427457525402432,0.13263890352446236,66,-0.07460360097077755,0.11146893068220735,-0.29308270510790396,0.14387550316634884,USD_CAD,7,22,44,22,tk_cross,short,219
214,-0.029361744429796183,0.06588588024044492,-0.15849806970106825,0.09977458084147588,93,-0.016949832327411915,0.08909591216203741,-0.19157782016500524,0.15767815551018138,USD_CAD,7,22,44,22,cloud_break,long,307
217,-0.0009237094189879474,0.06600212751818982,-0.13028787935463998,0.12844046051666408,93,-0.21536854552535495,0.08525925818309386,-0.38247669156421893,-0.04826039948649097,USD_CAD,7,22,44,22,cloud_break,short,310
69,0.072563236053655,0.11413411199275895,-0.15113962345215254,0.29626609555946254,30,-0.24549595238170605,0.15709206686873334,-0.5533964034444234,0.062404498681011306,USD_CAD,7,22,44,22,tk_cross_above_cloud,long,99
67,0.05779046985740728,0.11741886668276333,-0.17235050884080882,0.2879314485556234,29,-0.06151500459235144,0.16842251381760842,-0.39162313167486396,0.2685931224901611,USD_CAD,7,22,44,22,tk_cross_above_cloud,short,96
105,0.09466291931850558,0.09456625833477322,-0.09068694701764994,0.2800127856546611,45,-0.20496175964333188,0.13462541187209792,-0.4688275669126438,0.05890404762598003,USD_CAD,12,30,60,30,tk_cross,long,150
112,-0.08731123845977266,0.090607594556756,-0.2649021237910144,0.0902796468714691,48,0.01565834577473928,0.13779211716943834,-0.25441420387735986,0.28573089542683844,USD_CAD,12,30,60,30,tk_cross,short,160
179,-0.018769636812233943,0.07124184942794222,-0.1584036616910007,0.12086438806653281,77,0.12484689384712065,0.10133545612745821,-0.07377060016269744,0.32346438785693876,USD_CAD,12,30,60,30,cloud_break,long,256
183,0.06986631831515905,0.0714689658234807,-0.07021285469886313,0.20994549132918122,79,-0.36099680258515116,0.09287737951357686,-0.5430364664317617,-0.17895713873854052,USD_CAD,12,30,60,30,cloud_break,short,262
56,0.03693505544567028,0.13001707672932403,-0.2178984149438048,0.29176852583514534,25,-0.3289374149008367,0.17743872916370557,-0.6767173240616996,0.018842494260026155,USD_CAD,12,30,60,30,tk_cross_above_cloud,long,81
52,0.0983039326967119,0.1347262694791335,-0.16575955548238974,0.36236742087581353,23,-0.1770035649158206,0.20339870161849682,-0.5756650200880744,0.22165789025643318,USD_CAD,12,30,60,30,tk_cross_above_cloud,short,75
140,-0.10159956909289014,0.08131358242178635,-0.2609741906395914,0.05777505245381109,60,-0.002438065504698302,0.12806347524421458,-0.25344247698335887,0.24856634597396224,USD_CHF,9,26,52,26,tk_cross,long,200
133,0.10007400136346635,0.08404611755001654,-0.06465638903456607,0.2648043917614988,57,0.15695114133021595,0.1298037603611689,-0.09746422897767507,0.411366511638107,USD_CHF,9,26,52,26,tk_cross,short,190
206,-0.027735421042397432,0.0674540839060882,-0.1599454254983303,0.10447458341353544,89,-0.0841803726839309,0.10498500813319123,-0.2899509886249857,0.1215902432571239,USD_CHF,9,26,52,26,cloud_break,long,295
