tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
217,0.09178848701027632,0.06703161034234684,-0.03959346926072348,0.2231704432812761,93,-0.0781358294882814,0.10056661543045693,-0.27524639573197696,0.11897473675541417,GBP_USD,12,30,60,30,tk_cross,short,310
270,-0.039249435493525976,0.060390642078757745,-0.15761509396789114,0.0791162229808392,117,0.02149311437144124,0.09169057618090425,-0.15822041494313108,0.20120664368601357,GBP_USD,12,30,60,30,cloud_break,long,387
250,0.07919359374257802,0.06266765675942947,-0.043635013505903736,0.20202220099105977,108,0.019587834776094708,0.09397856466478549,-0.16461015196688483,0.20378582151907426,GBP_USD,12,30,60,30,cloud_break,short,358
94,0.004191417206890103,0.10211154877114526,-0.19594721838455462,0.2043300527983348,41,0.14074672655645878,0.15054118114108508,-0.15431398848006797,0.43580744159298557,GBP_USD,12,30,60,30,tk_cross_above_cloud,long,135
95,0.17315442700089484,0.10059779582038383,-0.024017252807057465,0.37032610680884714,41,-0.2632228785557259,0.15048615118329622,-0.5581757348749865,0.0317299777635347,GBP_USD,12,30,60,30,tk_cross_above_cloud,short,136
254,0.0221724423343776,0.06256772983736256,-0.10046030814685301,0.14480519281560822,110,0.027482895785841066,0.09531014752605321,-0.15932499336522324,0.21429078493690537,AUD_USD,9,26,52,26,tk_cross,long,364
248,0.03997636252163337,0.06339897527375549,-0.0842856290149274,0.16423835405819412,107,-0.028037383177570093,0.09709040258928078,-0.21833457225256042,0.16225980589742023,AUD_USD,9,26,52,26,tk_cross,short,355
318,0.1293772440109246,0.05560621606257994,0.020389060528267916,0.23836542749358128,137,0.014767288587171658,0.0854265490456644,-0.15266874754233054,0.18220332471667386,AUD_USD,9,26,52,26,cloud_break,long,455
289,-0.029304077898066477,0.05882063661022995,-0.14459252565411718,0.08598436985798423,125,-0.1466809780442326,0.088184951108842,-0.31952348221756294,0.026161526129097723,AUD_USD,9,26,52,26,cloud_break,short,414
105,0.009523809523809525,0.0980536203903524,-0.18266128644128118,0.20170890548890022,46,0.022241707313967768,0.14740554752585533,-0.26667316583670864,0.31115658046464423,AUD_USD,9,26,52,26,tk_cross_above_cloud,long,151
106,0.17364365344381663,0.09580436486067488,-0.01413290168310613,0.3614202085707394,46,-0.2608695652173913,0.14390946767891488,-0.5429321218680645,0.02119299143328185,AUD_USD,9,26,52,26,tk_cross_above_cloud,short,152
307,-0.016644818450162704,0.056932588662978144,-0.12823269222959988,0.09494305532927445,132,0.10606060606060606,0.0868776075051404,-0.06421950464946911,0.2763407167706812,AUD_USD,7,22,44,22,tk_cross,long,439
308,-0.09733793673190237,0.05648819490735238,-0.20805479875031302,0.01337892528650829,133,-0.03274425156036491,0.08670554907607733,-0.2026871277494765,0.13719862462874666,AUD_USD,7,22,44,22,tk_cross,short,441
340,0.14859738901000952,0.053647118798918335,0.04344903616412958,0.25374574185588944,146,0.0273972602739726,0.08301430662446833,-0.13531078070998534,0.19010530125793054,AUD_USD,7,22,44,22,cloud_break,long,486
311,0.08260303122825204,0.05611713808960583,-0.027386559427375376,0.19259262188387943,134,-0.034442650189685176,0.08638327619155184,-0.20375387152512678,0.13486857114575643,AUD_USD,7,22,44,22,cloud_break,short,445
121,0.0743801652892562,0.09103422392208432,-0.10404691359802906,0.25280724417654143,52,0.038461538461538464,0.1399243990594229,-0.2357902836949304,0.31271336061800736,AUD_USD,7,22,44,22,tk_cross_above_cloud,long,173
132,-0.01500064025322675,0.08624077921826763,-0.1840325675210313,0.1540312870145778,57,-0.12280701754385964,0.13261911333657098,-0.38274047968353875,0.13712644459581946,AUD_USD,7,22,44,22,tk_cross_above_cloud,short,189
222,0.01483769057634233,0.06693121790230842,-0.11634749651218217,0.14602287766486682,96,0.10416666666666667,0.10203968812778867,-0.09583112206379911,0.30416445539713244,AUD_USD,12,30,60,30,tk_cross,long,318
222,-0.09551657408455957,0.06681374089248333,-0.22647150623382692,0.03543835806470777,96,-0.0755918915424607,0.10180250512724852,-0.2751248015918678,0.1239410185069464,AUD_USD,12,30,60,30,tk_cross,short,318
286,0.05350168825221796,0.058640297290041186,-0.06143329443626276,0.1684366709406987,123,0.07317073170731707,0.0902930585726558,-0.10380366309508827,0.2501451265097224,AUD_USD,12,30,60,30,cloud_break,long,409
