tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
85,-0.10767741991496728,0.10466300539373172,-0.3128169104866814,0.09746207065674688,37,0.04465649464434869,0.1627739379861025,-0.27438042380841227,0.3636934130971096,USD_CHF,12,30,60,30,tk_cross,short,122
57,0.01572379411531869,0.1322819281219162,-0.24354878500363705,0.27499637323427445,25,0.04,0.20396078054371142,-0.3597631298656744,0.43976312986567434,USD_CHF,12,30,60,30,cloud_break,long,82
53,0.2557108019148302,0.12992916295597254,0.00104964252112405,0.5103719613085363,23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,USD_CHF,12,30,60,30,cloud_break,short,76
31,0.2595253248229857,0.17324882819061568,-0.08004237843062106,0.5990930280765925,14,-0.14285714285714285,0.2745054065230065,-0.6808877396422355,0.39517345392794984,USD_CHF,12,30,60,30,tk_cross_above_cloud,long,45
32,0.10509156207146966,0.16831232092406223,-0.22480058693969232,0.4349837110826317,14,0.4001858639526219,0.24719355682371633,-0.08431350742186211,0.884685235327106,USD_CHF,12,30,60,30,tk_cross_above_cloud,short,46
99,-0.0707070707070707,0.10076242568598032,-0.2682014250515921,0.12678728363745073,43,-0.11627906976744186,0.15325664577635612,-0.4166620954890998,0.18410395595421614,NZD_USD,9,26,52,26,tk_cross,long,142
106,0.018867924528301886,0.09757263479675488,-0.17237443967333768,0.21011028872994145,46,-0.043478260869565216,0.14893023279611745,-0.33538151714995545,0.248424995410825,NZD_USD,9,26,52,26,tk_cross,short,152
52,0.038461538461538464,0.1399243990594229,-0.2357902836949304,0.31271336061800736,23,-0.13043478260869565,0.2113793194801729,-0.5447382487898346,0.2838686835724432,NZD_USD,9,26,52,26,cloud_break,long,75
50,-0.24,0.13868184113727539,-0.5118164086290597,0.03181640862905977,22,0.18181818181818182,0.2145806706734845,-0.23875993270184775,0.6023962963382115,NZD_USD,9,26,52,26,cloud_break,short,72
41,0.024390243902439025,0.15806684630263074,-0.2854207748507172,0.3342012626555953,18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,NZD_USD,9,26,52,26,tk_cross_above_cloud,long,59
37,0.02702702702702703,0.16660578386402639,-0.2995203093464647,0.35357436340051873,17,-0.4117647058823529,0.22782254977690689,-0.8582969034450905,0.034767491680384566,NZD_USD,9,26,52,26,tk_cross_above_cloud,short,54
