instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
NATGAS_USD,mr_under_limit,bb_p20_2,H4,limit,1,829,-0.49290088411772126,0,0.04322829590677752,-0.5776283440950052,-0.40817342414043734
NATGAS_USD,mr_under_limit,bb_p20_2,H4,market,1,829,-0.6580741126567242,0,0.04195803018004054,-0.7403118518096037,-0.5758363735038448
NATGAS_USD,mr_under_limit,cci20_lt-100,H4,limit,1,3441,-0.5910741021093706,0,0.020697170988306243,-0.6316405572464509,-0.5505076469722904
NATGAS_USD,mr_under_limit,cci20_lt-100,H4,market,1,3441,-0.7683934184471518,0,0.01978738694736412,-0.8071766968639855,-0.7296101400303181
NATGAS_USD,mr_under_limit,ema50_dist_low,H4,limit,1,6492,-0.5972838433830602,0,0.015101934072437647,-0.626883634165038,-0.5676840526010823
NATGAS_USD,mr_under_limit,ema50_dist_low,H4,market,1,6492,-0.7741307190162938,0,0.014419346804749074,-0.802392638753602,-0.7458687992789856
NATGAS_USD,mr_under_limit,macd_hist_low,H4,limit,1,1704,-0.547582036076714,0,0.02963179916447707,-0.605660362439089,-0.4895037097143389
NATGAS_USD,mr_under_limit,macd_hist_low,H4,market,1,1704,-0.7068550115832618,0,0.02842661501378609,-0.7625711770102825,-0.6511388461562411
NATGAS_USD,mr_under_limit,rsi14_lt30,H4,limit,1,1066,-0.5926132408702848,0,0.037426794254166396,-0.6659697576084509,-0.5192567241321187
NATGAS_USD,mr_under_limit,rsi14_lt30,H4,market,1,1066,-0.7256007810734187,0,0.03625775964967461,-0.796665989986781,-0.6545355721600565
NATGAS_USD,mr_under_limit,sma50_dist_low,H4,limit,1,6756,-0.5902421987582327,0,0.014800840556793671,-0.6192518462495483,-0.5612325512669171
NATGAS_USD,mr_under_limit,sma50_dist_low,H4,market,1,6756,-0.7697781341684596,0,0.014122167195109576,-0.7974575818708745,-0.7420986864660448
NATGAS_USD,mr_under_limit,stoch14_k20,H4,limit,1,4126,-0.573338987183021,0,0.01899498825054239,-0.6105691641540841,-0.5361088102119579
NATGAS_USD,mr_under_limit,stoch14_k20,H4,market,1,4126,-0.7580738706472983,0,0.018159139109747743,-0.7936657833024038,-0.7224819579921927
NATGAS_USD,trend,donchian55,D1,limit,-1,99,-1.0210145231404208,0,0.10218104510048008,-1.2212893715373618,-0.8207396747434799
NATGAS_USD,trend,donchian55,D1,limit,1,159,-0.6987250373342134,0,0.08849395128691591,-0.8721731818565686,-0.5252768928118583
NATGAS_USD,trend,donchian55,D1,market,-1,99,-1.0974296801832357,0,0.09587729548988365,-1.2853491793434078,-0.9095101810230638
