instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high,split
XCU_USD,mr_under_limit,ema200_dist_-0.5%,H4,market,1,2712,-0.0008430596528333473,3,0.031179883794056756,-0.06195563188918459,0.06026951258351789,7631,-0.02685620942132832,0.026013149768494972,,3,0.032299676690013504,-0.04100254455459875,0.09624653001773195,2016-2021
XCU_USD,mr_under_limit,ema200_dist_-0.5%,H4,market,1,2991,0.03942305164353474,2,0.026061489105449073,-0.01165746700314544,0.09050357029021491,8338,-0.008373467833768947,0.047796519477303685,0.09289361549718836,2,0.027138179662111524,0.002340422313187784,0.10007492886862569,2021-2026
XCU_USD,mr_under_limit,ema200_dist_-1.0%,H4,limit,1,2243,0.2259306089115383,3,0.03216775700249341,0.16288180518665119,0.2889794126364254,7631,0.21805171635757506,0.007878892553963235,,3,0.03597108568580488,-0.06530579929681739,0.07229277429739629,2016-2021
XCU_USD,mr_under_limit,ema200_dist_-1.0%,H4,limit,1,2492,0.25473913447428803,2,0.026636101405438005,0.20253237571962954,0.3069458932289465,8338,0.22226554936177506,0.03247358511251297,,2,0.024654662051397314,-0.013038792716294986,0.08300540634997722,2021-2026
XCU_USD,mr_under_limit,ema200_dist_-1.0%,H4,market,1,2243,-0.00931879184168122,3,0.03392687672843073,-0.07581547022940544,0.057177886546043,7631,-0.02685620942132832,0.0175374175796471,,3,0.037902436054629014,-0.059781504169501044,0.09379140585206289,2016-2021
XCU_USD,mr_under_limit,ema200_dist_-1.0%,H4,market,1,2492,0.04378326577132863,2,0.028326063489824502,-0.011735818668727395,0.09930235021138464,8338,-0.008373467833768947,0.05215673360509757,,2,0.02603095470817932,0.001543635461470372,0.09902680931234789,2021-2026
XCU_USD,mr_under_limit,ema200_dist_-2.0%,H4,limit,1,1530,0.2648798069575814,2,0.03471640933264684,0.1968356446655936,0.3329239692495692,7631,0.21805171635757506,0.04682809060000634,,2,0.03353568182246995,-0.024641847189472845,0.11118366499640911,2016-2021
XCU_USD,mr_under_limit,ema200_dist_-2.0%,H4,limit,1,1736,0.24501557196691423,1,0.028118090862228058,0.18990411387694722,0.30012703005688124,8338,0.22226554936177506,0.02275002260513917,,1,0.024570129909593258,-0.025208296326280348,0.06713714584873984,2021-2026
XCU_USD,mr_under_limit,ema200_dist_-2.0%,H4,market,1,1530,0.029737215283324712,3,0.040329054746710634,-0.04930773202022813,0.10878216258687755,7631,-0.02685620942132832,0.056593424704653034,,3,0.04237231248448262,-0.02664988270005381,0.1338672107874825,2016-2021
XCU_USD,mr_under_limit,ema200_dist_-2.0%,H4,market,1,1736,0.02624347082501535,2,0.03345015769103281,-0.03931883824940895,0.09180577989943965,8338,-0.008373467833768947,0.0346169386587843,,2,0.029981723876053454,-0.021118721690408987,0.09103831443107023,2021-2026
