instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high
XCU_USD,mr_under_limit,sma20_dist_-1.0%,H4,limit,1,3053,0.2347155708291483,2,0.023839970195184135,0.1879892292465874,0.2814419124117092,16053,0.21995892012553847,0.01475665070360982,,2,0.024077279610513813,-0.0325836750365972,0.059000879941299274
XCU_USD,mr_under_limit,sma20_dist_-2.0%,H4,limit,1,942,0.22676525831402936,1,0.036955314436137865,0.15433284201919914,0.2991976746088596,16053,0.21995892012553847,0.006806338188490885,,1,0.03496728578552871,-0.056472278614012675,0.07240547438432221
XCU_USD,mr_under_limit,sma50_dist_-0.5%,H4,limit,1,5751,0.24962307765716285,2,0.01770802377955935,0.21491535104922652,0.28433080426509916,16053,0.21995892012553847,0.02966415753162438,,2,0.018769081271650705,-0.00991628730610291,0.06623374395266689
XCU_USD,mr_under_limit,sma50_dist_-1.0%,H4,limit,1,4209,0.25855666428497515,2,0.020431173570783456,0.21851156408623956,0.29860176448371073,16053,0.21995892012553847,0.038597744159436675,,2,0.02122097994436182,-0.0015901947096902589,0.08134891464716205
XCU_USD,mr_under_limit,sma50_dist_-2.0%,H4,limit,1,2134,0.24278885743161285,1,0.025320262790403426,0.19316114236242216,0.29241657250080355,16053,0.21995892012553847,0.022829937306074383,,1,0.022036243032773226,-0.02206310547541407,0.06695689790199368
XCU_USD,mr_under_limit,ema100_dist_-0.5%,H4,market,1,5588,0.030051561358587532,2,0.01918538841093271,-0.0075517999268405744,0.06765492264401564,16053,-0.01737678045142146,0.04742834181000899,,2,0.019344375338549314,0.005788247103077361,0.08203589309173256
XCU_USD,mr_under_limit,ema100_dist_-1.0%,H4,market,1,4387,0.02754715369620127,2,0.021450567234654844,-0.014495958083722223,0.06959026547612476,16053,-0.01737678045142146,0.04492393414762273,,2,0.022816726226880857,-0.0025215840320926158,0.08915130514087465
XCU_USD,mr_under_limit,ema100_dist_-2.0%,H4,market,1,2479,0.027485857918571527,2,0.027661549733658506,-0.02673077955939914,0.0817024953965422,16053,-0.01737678045142146,0.04486263836999299,,2,0.02564616001022428,-0.0018155267609260464,0.09112815904562363
XCU_USD,mr_under_limit,ema200_dist_-0.5%,H4,market,1,5711,0.02122645548999144,2,0.019178105224156368,-0.01636263074935504,0.05881554172933792,16053,-0.01737678045142146,0.038603235941412906,0.8123460387565672,2,0.01973909741462436,-0.005350807331444454,0.07582893842162852
XCU_USD,mr_under_limit,ema200_dist_-1.0%,H4,market,1,4738,0.019218707696159316,2,0.02089197501798524,-0.02172956333909175,0.06016697873141039,16053,-0.01737678045142146,0.036595488147580776,,2,0.020557815516762626,-0.002976186137665588,0.07715651362408386
XCU_USD,mr_under_limit,ema200_dist_-2.0%,H4,market,1,3266,0.027880160666170693,2,0.024733597895527523,-0.02059769120906325,0.07635801254140463,16053,-0.01737678045142146,0.04525694111759215,,2,0.025711761710331373,-0.004922530774686633,0.09114421694436661
XCU_USD,mr_under_limit,ema20_dist_-0.5%,H4,market,1,4593,-0.006455825183273035,2,0.02049140075256671,-0.04661897065830378,0.033707320291757714,16053,-0.01737678045142146,0.010920955268148427,,2,0.020348737279373714,-0.029309595513710703,0.048311670598676484
XCU_USD,mr_under_limit,ema20_dist_-1.0%,H4,market,1,2474,-0.0034703061604514918,2,0.02705046284992126,-0.05648921334629716,0.04954860102539418,16053,-0.01737678045142146,0.013906474290969969,,2,0.02581207006538259,-0.02770377246301842,0.07149208014888514
XCU_USD,mr_under_limit,ema20_dist_-2.0%,H4,market,1,661,-0.05340111090715848,1,0.045409341684771565,-0.14240342060931074,0.03560119879499379,16053,-0.01737678045142146,-0.036024330455737025,,1,0.03803780556030924,-0.10446729247494893,0.05028330945052912
XCU_USD,mr_under_limit,ema50_dist_-0.5%,H4,market,1,5411,0.01699157993486088,2,0.0191660677367611,-0.020573912829190872,0.054557072698912634,16053,-0.01737678045142146,0.03436836038628234,,2,0.0206862056781976,-0.0034540471763336066,0.07587328503774157
XCU_USD,mr_under_limit,ema50_dist_-1.0%,H4,market,1,3731,0.03751600659869202,2,0.02289018282998184,-0.007348751748072389,0.08238076494545643,16053,-0.01737678045142146,0.05489278705011348,,2,0.022185624051197395,0.01605343229997467,0.0998855085318544
XCU_USD,mr_under_limit,ema50_dist_-2.0%,H4,market,1,1645,-0.00778149461356854,2,0.03341676117758447,-0.0732783465216341,0.05771535729449702,16053,-0.01737678045142146,0.009595285837852921,,2,0.030247878883147644,-0.0483779905950951,0.07292928285345926
XCU_USD,mr_under_limit,sma100_dist_-0.5%,H4,market,1,5915,0.010519681460673563,2,0.018627929004301224,-0.02599105938775683,0.04703042230910396,16053,-0.01737678045142146,0.027896461912095022,,2,0.018893907690766175,-0.004967789930338478,0.06260031483741314
XCU_USD,mr_under_limit,sma100_dist_-1.0%,H4,market,1,4774,0.02667201594145469,2,0.020470481368070698,-0.013450127539963875,0.06679415942287326,16053,-0.01737678045142146,0.04404879639287615,,2,0.021451777707478126,0.006092455909966578,0.09041988999764047
XCU_USD,mr_under_limit,sma100_dist_-2.0%,H4,market,1,2976,0.03133744085249717,2,0.025404926810899623,-0.01845621569686609,0.08113109740186043,16053,-0.01737678045142146,0.04871422130391863,,2,0.025708855612543824,-0.002940909242800915,0.09661642273694156
XCU_USD,mr_under_limit,sma200_dist_-0.5%,H4,market,1,5971,0.004292278204176245,2,0.018671426634751465,-0.03230371799993663,0.04088827440828911,16053,-0.01737678045142146,0.021669058655597706,0.09734683548224243,2,0.01817740266260645,-0.010297925915538273,0.05967493484415936
XCU_USD,mr_under_limit,sma200_dist_-1.0%,H4,market,1,5221,0.0006305754695694454,2,0.01991969816666656,-0.03841203293709701,0.039673183876235904,16053,-0.01737678045142146,0.018007355920990904,,2,0.020795921297735484,-0.025182533996617927,0.05611090367529547
XCU_USD,mr_under_limit,sma200_dist_-2.0%,H4,market,1,3777,0.02477038149981748,2,0.023135995092908555,-0.020576168882283287,0.07011693188191825,16053,-0.01737678045142146,0.04214716195123894,,2,0.02153155049381117,-0.0008080101084497761,0.09056240976798385
XCU_USD,mr_under_limit,sma20_dist_-0.5%,H4,market,1,5089,-0.020893702627710602,2,0.01960482094037608,-0.059319151670847725,0.017531746415426517,16053,-0.01737678045142146,-0.0035169221762891417,,2,0.0206009034621148,-0.042548105176583036,0.034696329556254145
XCU_USD,mr_under_limit,sma20_dist_-1.0%,H4,market,1,3053,-0.010814716296417849,2,0.024656484158178435,-0.05914142524644758,0.03751199265361188,16053,-0.01737678045142146,0.006562064155003612,,2,0.02435647616085958,-0.04219842989970834,0.05439152337778014
XCU_USD,mr_under_limit,sma20_dist_-2.0%,H4,market,1,942,-0.01726237670012092,1,0.03833550181616777,-0.09239996025980975,0.057875206859567915,16053,-0.01737678045142146,0.00011440375130054165,,1,0.03362535907311404,-0.06660711717090266,0.0627957386709412
XCU_USD,mr_under_limit,sma50_dist_-0.5%,H4,market,1,5751,0.012228458321566292,2,0.018669340093391128,-0.02436344826148032,0.0488203649046129,16053,-0.01737678045142146,0.029605238772987753,,2,0.018374144794436983,-0.00860056557477983,0.06110662499663609
XCU_USD,mr_under_limit,sma50_dist_-1.0%,H4,market,1,4209,0.022050804817182603,2,0.021506571795181385,-0.020102075901372907,0.06420368553573812,16053,-0.01737678045142146,0.039427585268604064,,2,0.02208033164874638,0.0015801637433083176,0.0850190202239403
XCU_USD,mr_under_limit,sma50_dist_-2.0%,H4,market,1,2134,0.017990226431426493,2,0.02999068414935187,-0.04079151450130317,0.07677196736415616,16053,-0.01737678045142146,0.035367006882847954,,2,0.02938309908584943,-0.021331837603118603,0.08262793434657775
