evaluator,level,pair_or_pooled,direction,bucket_type,bucket,n,mean_R,SE,CI_low
cci,PAIR,USD_SGD,long,fixed,>=150,87,-0.013593580887278791,0.09443068068296966,-0.19867771502589932
cci,PAIR,USD_SGD,long,quintile,Q1_shallow,240,0.0054974530841859996,0.0547652229505439,-0.10184238389888005
cci,PAIR,USD_SGD,long,quintile,Q2,241,0.06134493688735078,0.05358150223729648,-0.04367480749775031
cci,PAIR,USD_SGD,long,quintile,Q3,244,-0.02232594896633464,0.052234981336007485,-0.1247065123849093
cci,PAIR,USD_SGD,long,quintile,Q4,241,-0.014442950717271653,0.05328870626163039,-0.11888881499006722
cci,PAIR,USD_SGD,long,quintile,Q5_deep,216,-0.010826945946846793,0.05717601336553032,-0.12289193214328623
cci,PAIR,USD_SGD,short,fixed,0_25,286,0.14897805232384229,0.04942148173759236,0.052111948118161264
cci,PAIR,USD_SGD,short,fixed,100_150,168,0.040489606009453415,0.06319559552739462,-0.08337376122424003
cci,PAIR,USD_SGD,short,fixed,25_50,265,-0.016963988695069116,0.051201380588652465,-0.11731869464882794
cci,PAIR,USD_SGD,short,fixed,50_100,347,0.054385233482946556,0.044124374542566486,-0.03209854062048375
cci,PAIR,USD_SGD,short,fixed,>=150,83,-0.04313779468698174,0.09817497468249854,-0.2355607450646789
cci,PAIR,USD_SGD,short,quintile,Q1_shallow,228,0.19351921013638546,0.054581863841957096,0.08653875700614955
cci,PAIR,USD_SGD,short,quintile,Q2,218,0.03209522666685344,0.05632672791901229,-0.07830516005441064
cci,PAIR,USD_SGD,short,quintile,Q3,253,-0.017645029209358898,0.05151639138436899,-0.11861715632272211
cci,PAIR,USD_SGD,short,quintile,Q4,209,0.05553934053096575,0.05837335574491329,-0.058872436729064295
cci,PAIR,USD_SGD,short,quintile,Q5_deep,241,0.008062612963081976,0.054319053311548925,-0.09840273152755392
cci,POOLED,POOLED,long,fixed,0_25,4945,0.027534942902216013,0.013523766602987751,0.001028360360360022
cci,POOLED,POOLED,long,fixed,100_150,2856,0.010730559724365997,0.017889326545518197,-0.02433252030484967
cci,POOLED,POOLED,long,fixed,25_50,4452,0.016321566525348826,0.014284295480707084,-0.011675652616837059
cci,POOLED,POOLED,long,fixed,50_100,5862,0.03868037057366865,0.012448079522909225,0.014282134708766572
cci,POOLED,POOLED,long,fixed,>=150,1489,0.05257356600780009,0.02474851636863573,0.00406647392527406
cci,POOLED,POOLED,long,quintile,Q1_shallow,3921,0.02577441380943252,0.015171531469559608,-0.003961787870904312
cci,POOLED,POOLED,long,quintile,Q2,3921,0.019270887003317333,0.015235473469900122,-0.010590640997686904
cci,POOLED,POOLED,long,quintile,Q3,3920,0.04270672626275833,0.015189726222776586,0.012934862866116222
cci,POOLED,POOLED,long,quintile,Q4,3921,0.028215445466042762,0.015251686991387965,-0.0016778610370776492
cci,POOLED,POOLED,long,quintile,Q5_deep,3921,0.02291022809854677,0.015264104523978958,-0.0070074167684519885
cci,POOLED,POOLED,short,fixed,0_25,5059,0.0057392506341340166,0.013426250207863566,-0.02057619977327857
cci,POOLED,POOLED,short,fixed,100_150,2839,0.00847037700386342,0.01791354212745176,-0.02664016556594203
cci,POOLED,POOLED,short,fixed,25_50,4642,-0.01564644324292293,0.014031612656209664,-0.04314840404909387
cci,POOLED,POOLED,short,fixed,50_100,6206,-0.004389089254056075,0.01214819747838584,-0.028199556311692325
cci,POOLED,POOLED,short,fixed,>=150,1398,0.028463097516639467,0.02548826019845943,-0.02149389247234102
cci,POOLED,POOLED,short,quintile,Q1_shallow,4029,-3.421376599305654e-05,0.015041125445212626,-0.0295148196386098
cci,POOLED,POOLED,short,quintile,Q2,4029,0.0019168367743704492,0.015056699162070605,-0.027594293583287938
cci,POOLED,POOLED,short,quintile,Q3,4028,-0.009678283364533547,0.015031893218545292,-0.03914079407288232
cci,POOLED,POOLED,short,quintile,Q4,4029,-0.007017895387059605,0.01512265492057177,-0.03665829903138027
cci,POOLED,POOLED,short,quintile,Q5_deep,4029,0.013074792743123785,0.015029173300770157,-0.016382386926385724
ema,PAIR,AUD_CAD,long,fixed,0.1_0.25,83,0.021572779613842855,0.10696069462261858,-0.18807018184648955
ema,PAIR,AUD_CAD,long,fixed,0.25_0.5,75,-0.03031976901078489,0.1104396448155705,-0.24678147284930307
ema,PAIR,AUD_CAD,long,fixed,0.5_1,47,-0.18681140533105478,0.1367940195516926,-0.45492768365237224
ema,PAIR,AUD_CAD,long,fixed,0_0.1,82,0.26820239350687847,0.10246252195500871,0.0673758504750614
ema,PAIR,AUD_CAD,long,fixed,>=1,9,0.3333333333333333,0.3333333333333333,-0.32
ema,PAIR,AUD_CAD,long,quintile,Q1_shallow,62,0.32521137683501367,0.1167929804880891,0.09629713507835902
ema,PAIR,AUD_CAD,long,quintile,Q2,67,-0.026553972940783654,0.11930706655064649,-0.26039582338005074
ema,PAIR,AUD_CAD,long,quintile,Q3,68,0.07845873534090488,0.11489210435424105,-0.14672978919340757
ema,PAIR,AUD_CAD,long,quintile,Q4,52,-0.07701877772640302,0.1312373394381376,-0.3342439630251527
ema,PAIR,AUD_CAD,long,quintile,Q5_deep,47,-0.0847912444468589,0.14326391198534422,-0.3655885119381336
ema,PAIR,AUD_CAD,short,fixed,0.1_0.25,77,0.1204355501795269,0.10900826614471018,-0.09322065146410505
ema,PAIR,AUD_CAD,short,fixed,0.25_0.5,66,-0.03640733648188898,0.12000913217165662,-0.27162523553833595
ema,PAIR,AUD_CAD,short,fixed,0.5_1,57,0.3870140979750514,0.12137882799179495,0.14911159511113328
ema,PAIR,AUD_CAD,short,fixed,0_0.1,62,0.2834449205874619,0.11975817748042293,0.04871889272583296
ema,PAIR,AUD_CAD,short,fixed,>=1,11,-0.013992273773210369,0.275485197742789,-0.5539432613490768
ema,PAIR,AUD_CAD,short,quintile,Q1_shallow,55,0.3013379104804116,0.126102435019554,0.05417713784208572
ema,PAIR,AUD_CAD,short,quintile,Q2,46,0.17884555817061623,0.14031390093258478,-0.09616968765724995
ema,PAIR,AUD_CAD,short,quintile,Q3,61,0.043192109721099034,0.12551704236612532,-0.2028212933165066
ema,PAIR,AUD_CAD,short,quintile,Q4,50,-0.008443468835071357,0.1367957002128567,-0.2765630412522705
ema,PAIR,AUD_CAD,short,quintile,Q5_deep,61,0.31700165249196205,0.1185770455775923,0.08459064315988116
ema,PAIR,AUD_JPY,long,fixed,0.1_0.25,84,-0.21428571428571427,0.107214548590921,-0.4244262295239194
