pair,tf,fast,slow,direction,n,w,l,t,wr_decisive,ci_low,ci_high
AUD_CHF,H4,20,200,long,83,44,39,0,0.5301204819277109,0.42274686702951925,0.6374940968259025
AUD_CHF,H4,20,200,short,82,27,54,1,0.3333333333333333,0.2306719043610642,0.4359947623056024
AUD_CHF,H4,50,100,long,92,34,52,6,0.3953488372093023,0.29201334205471435,0.49868433236389026
AUD_CHF,H4,50,100,short,91,49,41,1,0.5444444444444444,0.4415522865356801,0.6473366023532087
AUD_CHF,H4,50,200,long,61,22,37,2,0.3728813559322034,0.2494884317449682,0.4962742801194386
AUD_CHF,H4,50,200,short,60,29,29,2,0.5,0.3713196957974719,0.6286803042025281
AUD_CHF,H4,100,200,long,47,21,26,0,0.44680851063829785,0.30467201432718494,0.5889450069494108
AUD_CHF,H4,100,200,short,48,26,22,0,0.5416666666666666,0.4007078550440012,0.6826254782893321
AUD_NZD,H4,10,50,long,215,74,97,44,0.4327485380116959,0.35848705245706664,0.5070100235663251
AUD_NZD,H4,10,50,short,216,80,70,66,0.5333333333333333,0.4534946812256583,0.6131719854410084
AUD_NZD,H4,10,100,long,135,52,56,27,0.48148148148148145,0.3872456377231525,0.5757173252398103
AUD_NZD,H4,10,100,short,135,48,45,42,0.5161290322580645,0.4145606526032969,0.6176974119128321
AUD_NZD,H4,10,200,long,92,38,32,22,0.5428571428571428,0.4261558146727558,0.6595584710415299
AUD_NZD,H4,10,200,short,92,37,34,21,0.5211267605633803,0.40492602723739457,0.6373274938893659
AUD_NZD,H4,20,50,long,176,65,79,32,0.4513888888888889,0.3701091018250014,0.5326686759527763
AUD_NZD,H4,20,50,short,177,72,58,47,0.5538461538461539,0.4683943395729312,0.6392979681193766
AUD_NZD,H4,20,100,long,100,38,43,19,0.4691358024691358,0.3604545664045016,0.57781703853377
AUD_NZD,H4,20,100,short,100,37,36,27,0.5068493150684932,0.3921597532206488,0.6215388769163376
AUD_NZD,H4,20,200,long,66,27,25,14,0.5192307692307693,0.3834297772537627,0.6550317612077758
AUD_NZD,H4,20,200,short,66,26,20,20,0.5652173913043478,0.4219586946646685,0.708476087944027
AUD_NZD,H4,50,100,long,87,32,35,20,0.47761194029850745,0.3580059644827897,0.5972179161142251
AUD_NZD,H4,50,100,short,87,34,30,23,0.53125,0.40898949192017275,0.6535105080798272
AUD_NZD,H4,50,200,long,48,23,12,13,0.6571428571428571,0.49988637873894526,0.814399335546769
AUD_NZD,H4,50,200,short,47,21,20,6,0.5121951219512195,0.3591903656558928,0.6651998782465463
AUD_NZD,H4,100,200,long,41,19,12,10,0.6129032258064516,0.44143606604916524,0.7843703855637381
AUD_NZD,H4,100,200,short,41,17,13,11,0.5666666666666667,0.389341520656837,0.7439918126764963
AUD_CAD,H4,10,50,long,213,97,101,15,0.4898989898989899,0.4202676359373955,0.5595303438605842
AUD_CAD,H4,10,50,short,213,100,106,7,0.4854368932038835,0.4171860260804051,0.5536877603273619
AUD_CAD,H4,10,100,long,143,63,69,11,0.4772727272727273,0.3920628392386331,0.5624826153068215
AUD_CAD,H4,10,100,short,142,58,74,10,0.4393939393939394,0.3547248222801633,0.5240630565077156
AUD_CAD,H4,10,200,long,90,46,31,13,0.5974025974025974,0.48786082934967945,0.7069443654555153
AUD_CAD,H4,10,200,short,89,43,41,5,0.5119047619047619,0.4050083080260113,0.6188012157835124
AUD_CAD,H4,20,50,long,179,86,83,10,0.5088757396449705,0.43350300260836877,0.5842484766815721
AUD_CAD,H4,20,50,short,178,84,84,10,0.5,0.42439135851857496,0.575608641481425
AUD_CAD,H4,20,100,long,105,50,49,6,0.5050505050505051,0.4065618239596305,0.6035391861413797
AUD_CAD,H4,20,100,short,104,50,49,5,0.5050505050505051,0.4065618239596305,0.6035391861413797
AUD_CAD,H4,20,200,long,67,30,28,9,0.5172413793103449,0.3886376022059932,0.6458451564146965
AUD_CAD,H4,20,200,short,66,34,29,3,0.5396825396825397,0.4166036117680886,0.6627614675969907
AUD_CAD,H4,50,100,long,87,39,40,8,0.4936708860759494,0.38342110554832587,0.6039206666035729
AUD_CAD,H4,50,100,short,87,41,40,6,0.5061728395061729,0.39729224912652816,0.6150534298858176
AUD_CAD,H4,50,200,long,49,20,23,6,0.46511627906976744,0.3160318440504992,0.6142007140890356
AUD_CAD,H4,50,200,short,48,25,18,5,0.5813953488372093,0.4339403008287866,0.7288503968456321
AUD_CAD,H4,100,200,long,42,13,22,7,0.37142857142857144,0.2113485914185777,0.5315085514385651
AUD_CAD,H4,100,200,short,42,23,15,4,0.6052631578947368,0.4498491272494405,0.7606771885400332
EUR_AUD,H4,10,50,long,220,107,97,16,0.5245098039215687,0.45597856609801357,0.5930410417451237
EUR_AUD,H4,10,50,short,221,105,104,12,0.5023923444976076,0.43460510298714733,0.5701795860080678
EUR_AUD,H4,10,100,long,149,62,73,14,0.45925925925925926,0.3751947477988325,0.543323770719686
EUR_AUD,H4,10,100,short,150,75,66,9,0.5319148936170213,0.44955230234295196,0.6142774848910906
EUR_AUD,H4,10,200,long,103,57,40,6,0.5876288659793815,0.48966500497057175,0.6855927269881912
EUR_AUD,H4,10,200,short,103,47,54,2,0.46534653465346537,0.36806737292309427,0.5626256963838364
EUR_AUD,H4,20,50,long,179,86,79,14,0.5212121212121212,0.4449879122055412,0.5974363302187012
EUR_AUD,H4,20,50,short,180,80,88,12,0.47619047619047616,0.4006676074439587,0.5517133449369936
EUR_AUD,H4,20,100,long,119,55,52,12,0.514018691588785,0.4193157603656663,0.6087216228119037
EUR_AUD,H4,20,100,short,119,54,56,9,0.4909090909090909,0.3974852029576149,0.5843329788605669
EUR_AUD,H4,20,200,long,71,39,26,6,0.6,0.4809018504309608,0.7190981495690392
EUR_AUD,H4,20,200,short,71,38,28,5,0.5757575757575758,0.45652059185637583,0.6949945596587758
EUR_AUD,H4,50,100,long,88,48,33,7,0.5925925925925926,0.4855870849531426,0.6995981002320425
EUR_AUD,H4,50,100,short,89,47,36,6,0.5662650602409639,0.4596449537042731,0.6728851667776548
EUR_AUD,H4,50,200,long,50,22,25,3,0.46808510638297873,0.3254289136532616,0.6107412991126959
EUR_AUD,H4,50,200,short,50,28,18,4,0.6086956521739131,0.4676581551269505,0.7497331492208756
EUR_AUD,H4,100,200,long,46,19,23,4,0.4523809523809524,0.3018510242627896,0.6029108804991152
EUR_AUD,H4,100,200,short,46,25,20,1,0.5555555555555556,0.4103703703703704,0.7007407407407408
EUR_CAD,H4,10,50,long,239,99,107,33,0.48058252427184467,0.4123541965337786,0.5488108520099108
EUR_CAD,H4,10,50,short,239,97,110,32,0.46859903381642515,0.40061878295572856,0.5365792846771217
EUR_CAD,H4,10,100,long,170,71,72,27,0.4965034965034965,0.41455378335474713,0.5784532096522459
EUR_CAD,H4,10,100,short,169,63,77,29,0.45,0.36759004914453597,0.532409950855464
EUR_CAD,H4,10,200,long,115,56,44,15,0.56,0.46270815861543174,0.6572918413845683
EUR_CAD,H4,10,200,short,114,38,47,29,0.4470588235294118,0.3413604243087909,0.5527572227500327
EUR_CAD,H4,20,50,long,191,90,82,19,0.5232558139534884,0.44861238496816946,0.5978992429388074
EUR_CAD,H4,20,50,short,191,80,85,26,0.48484848484848486,0.40859062524398576,0.561106344452984
EUR_CAD,H4,20,100,long,130,55,59,16,0.4824561403508772,0.39072724893054983,0.5741850317712045
EUR_CAD,H4,20,100,short,129,46,61,22,0.42990654205607476,0.3361019199612009,0.5237111641509486
EUR_CAD,H4,20,200,long,85,39,34,12,0.5342465753424658,0.41981561486505115,0.6486775358198804
EUR_CAD,H4,20,200,short,84,30,35,19,0.46153846153846156,0.34034458255090305,0.5827323405260201
EUR_CAD,H4,50,100,long,100,44,39,17,0.5301204819277109,0.42274686702951925,0.6374940968259025
EUR_CAD,H4,50,100,short,100,40,49,11,0.449438202247191,0.34609091126210384,0.5527854932322781
EUR_CAD,H4,50,200,long,54,23,21,10,0.5227272727272727,0.37513941734496625,0.6703151281095792
EUR_CAD,H4,50,200,short,54,22,25,7,0.46808510638297873,0.3254289136532616,0.6107412991126959
EUR_CAD,H4,100,200,long,54,21,27,6,0.4375,0.2971586193419774,0.5778413806580226
EUR_CAD,H4,100,200,short,53,18,23,12,0.43902439024390244,0.2871164563788486,0.5909323241089564
EUR_CHF,H4,10,50,long,227,76,62,89,0.5507246376811594,0.46773190157658123,0.6337173737857376
EUR_CHF,H4,10,50,short,227,69,70,88,0.49640287769784175,0.41328251370950586,0.5795232416861776
EUR_CHF,H4,10,100,long,139,45,41,53,0.5232558139534884,0.41769406434041734,0.6288175635665595
EUR_CHF,H4,10,100,short,139,43,42,54,0.5058823529411764,0.3995937849839204,0.6121709208984325
EUR_CHF,H4,10,200,long,105,33,34,38,0.4925373134328358,0.3728245941993393,0.6122500326663323
EUR_CHF,H4,10,200,short,105,32,33,40,0.49230769230769234,0.37076803835503674,0.613847346260348
EUR_CHF,H4,20,50,long,190,73,41,76,0.6403508771929824,0.5522556960768255,0.7284460583091394
EUR_CHF,H4,20,50,short,190,56,66,68,0.45901639344262296,0.37058991970269106,0.5474428671825549
EUR_CHF,H4,20,100,long,105,39,34,32,0.5342465753424658,0.41981561486505115,0.6486775358198804
EUR_CHF,H4,20,100,short,105,38,34,33,0.5277777777777778,0.41246203956855504,0.6430935159870006
EUR_CHF,H4,20,200,long,72,24,26,22,0.48,0.34151798961597934,0.6184820103840206
EUR_CHF,H4,20,200,short,72,22,28,22,0.44,0.3024085584056915,0.5775914415943085
EUR_CHF,H4,50,100,long,96,32,36,28,0.47058823529411764,0.35195156698377034,0.5892249036044649
EUR_CHF,H4,50,100,short,96,32,26,38,0.5517241379310345,0.42373422484289125,0.6797140510191777
