tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
377,175,192,10,0.4768392370572207,0.42573856478586414,0.5279399093285773,162,86,70,6,0.5512820512820513,0.47323303755150337,0.6293310650125993,GBP_USD,H4,50,1.0,14,short,539
326,151,165,10,0.4778481012658228,0.4227729253277085,0.5329232772039371,140,70,63,7,0.5263157894736842,0.441456790447641,0.6111747884997274,GBP_USD,H4,50,1.5,14,short,466
290,131,148,11,0.46953405017921146,0.4109720000559843,0.5280961003024386,125,45,72,8,0.38461538461538464,0.29645980934144733,0.47277095988932194,GBP_USD,H4,50,2.0,14,short,415
274,117,145,12,0.44656488549618323,0.38636702358899966,0.5067627474033668,118,39,69,10,0.3611111111111111,0.27052173117756484,0.45170049104465737,GBP_USD,H4,50,2.5,14,short,392
273,128,140,5,0.47761194029850745,0.4178089523906486,0.5374149282063663,117,54,59,4,0.4778761061946903,0.3857757538074627,0.5699764585819179,GBP_USD,H4,100,1.0,14,long,390
249,119,127,3,0.483739837398374,0.42129036812497755,0.5461893066717705,107,45,56,6,0.44554455445544555,0.348610968104054,0.5424781408068371,GBP_USD,H4,100,1.5,14,long,356
235,109,124,2,0.4678111587982833,0.4037424042978681,0.5318799132986984,102,45,46,11,0.4945054945054945,0.39177978356287624,0.5972312054481128,GBP_USD,H4,100,2.0,14,long,337
227,101,120,6,0.45701357466063347,0.3913357181177166,0.5226914312035503,98,46,49,3,0.4842105263157895,0.3837147939954141,0.5847062586361649,GBP_USD,H4,100,2.5,14,long,325
270,124,143,3,0.46441947565543074,0.404596495985616,0.5242424553252455,117,51,64,2,0.4434782608695652,0.3526785666730592,0.5342779550660712,GBP_USD,H4,100,1.0,14,short,387
259,125,128,6,0.49407114624505927,0.4324634057677634,0.5556788867223552,112,39,70,3,0.3577981651376147,0.26780746141985806,0.44778886885537134,GBP_USD,H4,100,1.5,14,short,371
242,100,137,5,0.4219409282700422,0.3590636353020993,0.4848182212379851,105,40,59,6,0.40404040404040403,0.30737762409598834,0.5007031839848197,GBP_USD,H4,100,2.0,14,short,347
236,114,113,9,0.5022026431718062,0.43715838978640054,0.5672468965572118,102,38,57,7,0.4,0.30148556076979327,0.4985144392302068,GBP_USD,H4,100,2.5,14,short,338
175,91,82,2,0.5260115606936416,0.45160443316486704,0.6004186882224163,76,34,39,3,0.4657534246575342,0.3513224641801196,0.5801843851349489,GBP_USD,H4,200,1.0,14,long,251
183,91,92,0,0.4972677595628415,0.42482515662154463,0.5697103625041384,79,36,37,6,0.4931506849315068,0.3784611230836624,0.6078402467793512,GBP_USD,H4,200,1.5,14,long,262
172,85,86,1,0.49707602339181284,0.42213483180059724,0.5720172149830285,75,22,46,7,0.3235294117647059,0.21233500080672524,0.43472382272268656,GBP_USD,H4,200,2.0,14,long,247
193,88,102,3,0.4631578947368421,0.39225448973029753,0.5340612997433867,84,20,55,9,0.26666666666666666,0.1665836196692041,0.36674971366412923,GBP_USD,H4,200,2.5,14,long,277
180,91,85,4,0.5170454545454546,0.44321811325617017,0.590872795834739,78,33,41,4,0.44594594594594594,0.3326909444730906,0.5592009474188013,GBP_USD,H4,200,1.0,14,short,258
191,87,101,3,0.4627659574468085,0.391490566079782,0.5340413488138349,83,38,38,7,0.5,0.38758629040342474,0.6124137095965753,GBP_USD,H4,200,1.5,14,short,274
183,70,108,5,0.39325842696629215,0.32149767752801495,0.46501917640456936,79,32,43,4,0.4266666666666667,0.3147297362764457,0.5386035970568877,GBP_USD,H4,200,2.0,14,short,262
173,75,96,2,0.43859649122807015,0.3642212899611007,0.5129716924950396,75,33,40,2,0.4520547945205479,0.3378830211493826,0.5662265678917132,GBP_USD,H4,200,2.5,14,short,248
551,263,281,7,0.4834558823529412,0.4414617361396175,0.5254500285662649,237,118,119,0,0.4978902953586498,0.4342330213833999,0.5615475693338997,AUD_USD,H4,20,1.0,14,long,788
424,229,191,4,0.5452380952380952,0.497615116035318,0.5928610744408723,183,88,93,2,0.4861878453038674,0.41337281754627353,0.5590028730614612,AUD_USD,H4,20,1.5,14,long,607
300,150,145,5,0.5084745762711864,0.45142496651095415,0.5655241860314186,129,71,57,1,0.5546875,0.468586594451456,0.640788405548544,AUD_USD,H4,20,2.0,14,long,429
190,87,100,3,0.46524064171123,0.39374932631992754,0.5367319571025324,82,45,35,2,0.5625,0.4537920339855446,0.6712079660144554,AUD_USD,H4,20,2.5,14,long,272
561,283,269,9,0.5126811594202898,0.4709830069968254,0.5543793118437542,241,122,118,1,0.5083333333333333,0.4450833918899407,0.5715832747767259,AUD_USD,H4,20,1.0,14,short,802
436,216,215,5,0.5011600928074246,0.45395528088166526,0.5483649047331839,187,94,92,1,0.5053763440860215,0.4335234119146852,0.5772292762573579,AUD_USD,H4,20,1.5,14,short,623
303,156,146,1,0.5165562913907285,0.46019455245440244,0.5729180303270545,130,64,64,2,0.5,0.41337941930464794,0.5866205806953521,AUD_USD,H4,20,2.0,14,short,433
182,98,84,0,0.5384615384615384,0.4660343427404683,0.6108887341826086,78,40,37,1,0.5194805194805194,0.4078839508068162,0.6310770881542226,AUD_USD,H4,20,2.5,14,short,260
386,183,196,7,0.48284960422163586,0.43254000739763565,0.5331592010456361,166,92,74,0,0.5542168674698795,0.47860260632964857,0.6298311286101105,AUD_USD,H4,50,1.0,14,long,552
350,164,179,7,0.478134110787172,0.42526970794030305,0.5309985136340409,151,73,78,0,0.48344370860927155,0.40373617300658754,0.5631512442119555,AUD_USD,H4,50,1.5,14,long,501
309,147,157,5,0.48355263157894735,0.4273761947103903,0.5397290684475043,133,63,70,0,0.47368421052631576,0.3888252115002726,0.5585432095523589,AUD_USD,H4,50,2.0,14,long,442
