tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
264,128,130,6,0.49612403100775193,0.4351137291987123,0.5571343328167916,114,66,46,2,0.5892857142857143,0.4981728035650047,0.6803986250064239,AUD_USD,H4,50,2.5,14,long,378
393,195,196,2,0.49872122762148335,0.44916065944341965,0.5482817957995471,169,79,90,0,0.46745562130177515,0.3922308606129954,0.5426803819905549,AUD_USD,H4,50,1.0,14,short,562
357,180,175,2,0.5070422535211268,0.4550344133146222,0.5590500937276314,153,81,70,2,0.5364238410596026,0.45688446500204133,0.6159632171171638,AUD_USD,H4,50,1.5,14,short,510
315,161,149,5,0.5193548387096775,0.46373629634255437,0.5749733810768006,135,74,59,2,0.556390977443609,0.47195637252563605,0.6408255823615819,AUD_USD,H4,50,2.0,14,short,450
267,151,114,2,0.569811320754717,0.5102000802208637,0.6294225612885702,115,59,55,1,0.5175438596491229,0.4258149682287955,0.6092727510694502,AUD_USD,H4,50,2.5,14,short,382
291,141,149,1,0.4862068965517241,0.4286812160272843,0.5437325770761638,126,67,59,0,0.5317460317460317,0.444616844908884,0.6188752185831795,AUD_USD,H4,100,1.0,14,long,417
254,114,137,3,0.4541832669322709,0.39258646018741983,0.515780073677122,109,59,50,0,0.5412844036697247,0.4477379490701109,0.6348308582693386,AUD_USD,H4,100,1.5,14,long,363
247,111,133,3,0.45491803278688525,0.392435497701904,0.5174005678718665,107,57,50,0,0.5327102803738317,0.4381730586936273,0.6272475020540361,AUD_USD,H4,100,2.0,14,long,354
237,103,127,7,0.44782608695652176,0.3835595660030747,0.5120926079099688,102,61,41,0,0.5980392156862745,0.5028883684673968,0.6931900629051522,AUD_USD,H4,100,2.5,14,long,339
256,118,135,3,0.466403162055336,0.40493033623499114,0.5278759878756808,110,45,64,1,0.41284403669724773,0.32041411857455626,0.5052739548199392,AUD_USD,H4,100,1.0,14,short,366
277,129,147,1,0.4673913043478261,0.40852781935514887,0.5262547893405033,120,69,50,1,0.5798319327731093,0.49114795247514387,0.6685159130710747,AUD_USD,H4,100,1.5,14,short,397
266,116,149,1,0.4377358490566038,0.3780035282007573,0.4974681699124503,115,71,42,2,0.6283185840707964,0.5392156047538472,0.7174215633877457,AUD_USD,H4,100,2.0,14,short,381
234,121,112,1,0.51931330472103,0.45515928307892717,0.5834673263631328,101,52,48,1,0.52,0.42207843138511314,0.6179215686148869,AUD_USD,H4,100,2.5,14,short,335
208,82,121,5,0.4039408866995074,0.3364396661390343,0.4714421072599805,90,45,45,0,0.5,0.39669892976783294,0.6033010702321671,AUD_USD,H4,200,1.0,14,long,298
181,82,97,2,0.4581005586592179,0.38510955789495543,0.5310915594234804,78,46,32,0,0.5897435897435898,0.4805824472696572,0.6989047322175223,AUD_USD,H4,200,1.5,14,long,259
177,73,104,0,0.4124293785310734,0.33990662724253395,0.4849521298196129,76,49,27,0,0.6447368421052632,0.5371360161510582,0.7523376680594681,AUD_USD,H4,200,2.0,14,long,253
175,80,95,0,0.45714285714285713,0.383334456536964,0.5309512577487502,76,54,22,0,0.7105263157894737,0.6085630109830642,0.8124896205958831,AUD_USD,H4,200,2.5,14,long,251
205,110,94,1,0.5392156862745098,0.4708133256908886,0.6076180468581309,89,43,46,0,0.48314606741573035,0.3793253071060094,0.5869668277254513,AUD_USD,H4,200,1.0,14,short,294
204,103,101,0,0.5049019607843137,0.43629153421465994,0.5735123873539675,88,44,44,0,0.5,0.3955316489857509,0.6044683510142491,AUD_USD,H4,200,1.5,14,short,292
198,95,103,0,0.4797979797979798,0.4102092833984623,0.5493866761974973,85,37,48,0,0.43529411764705883,0.3298920419677796,0.5406961933263381,AUD_USD,H4,200,2.0,14,short,283
180,90,87,3,0.5084745762711864,0.43482384676818253,0.5821253057741903,78,33,44,1,0.42857142857142855,0.3180355438181874,0.5391073133246698,AUD_USD,H4,200,2.5,14,short,258
539,243,253,43,0.4899193548387097,0.4459249999294236,0.5339137097479958,231,102,78,51,0.5666666666666667,0.4942739789518988,0.6390593543814345,USD_CAD,H4,20,1.0,14,long,770
415,202,182,31,0.5260416666666666,0.4760991281154755,0.5759842052178578,179,85,65,29,0.5666666666666667,0.4873644505470557,0.6459688827862776,USD_CAD,H4,20,1.5,14,long,594
291,130,126,35,0.5078125,0.44656997726304437,0.5690550227369556,126,54,47,25,0.5346534653465347,0.4373743036161636,0.6319326270769058,USD_CAD,H4,20,2.0,14,long,417
191,86,87,18,0.49710982658959535,0.4226030510617994,0.5716166021173913,83,37,30,16,0.5522388059701493,0.4331679826187065,0.6713096293215921,USD_CAD,H4,20,2.5,14,long,274
532,240,249,43,0.49079754601226994,0.4464879207534619,0.535107171271078,228,72,94,62,0.43373493975903615,0.35834313941610996,0.5091267401019623,USD_CAD,H4,20,1.0,14,short,760
414,181,192,41,0.48525469168900803,0.43453428520326637,0.5359750981747498,178,61,66,51,0.48031496062992124,0.3934214437046423,0.5672084775552001,USD_CAD,H4,20,1.5,14,short,592
305,136,139,30,0.49454545454545457,0.4354527475823411,0.553638161508568,132,55,45,32,0.55,0.4524912311635513,0.6475087688364488,USD_CAD,H4,20,2.0,14,short,437
212,112,88,12,0.56,0.4912042792028458,0.6287957207971543,92,34,35,23,0.4927536231884058,0.3747878778734156,0.610719368503396,USD_CAD,H4,20,2.5,14,short,304
354,153,166,35,0.47962382445141066,0.4247999396563455,0.5344477092464758,152,75,43,34,0.635593220338983,0.5487575982558577,0.7224288424221084,USD_CAD,H4,50,1.0,14,long,506
342,164,151,27,0.5206349206349207,0.46546521860610895,0.5758046226637324,147,83,36,28,0.6974789915966386,0.6149463157590784,0.7800116674341988,USD_CAD,H4,50,1.5,14,long,489
312,146,139,27,0.512280701754386,0.4542480241281432,0.5703133793806288,135,65,41,29,0.6132075471698113,0.5204934272556245,0.7059216670839981,USD_CAD,H4,50,2.0,14,long,447
268,121,128,19,0.4859437751004016,0.4238633444865308,0.5480242057142723,115,55,41,19,0.5729166666666666,0.47396514095053166,0.6718681923828016,USD_CAD,H4,50,2.5,14,long,383
388,174,179,35,0.49291784702549574,0.44076294271813327,0.5450727513328582,167,58,65,44,0.4715447154471545,0.38332430392546335,0.5597651269688456,USD_CAD,H4,50,1.0,14,short,555
365,157,177,31,0.47005988023952094,0.4165328892199612,0.5235868712590807,157,57,54,46,0.5135135135135135,0.4205300089203393,0.6064970181066877,USD_CAD,H4,50,1.5,14,short,522
338,156,147,35,0.5148514851485149,0.45857679723856587,0.5711261730584639,146,53,53,40,0.5,0.4048139854889881,0.5951860145110119,USD_CAD,H4,50,2.0,14,short,484
277,144,107,26,0.5737051792828686,0.5125238900951496,0.6348864684705875,120,42,48,30,0.4666666666666667,0.36359541000110895,0.5697379233322244,USD_CAD,H4,50,2.5,14,short,397
263,125,123,15,0.5040322580645161,0.44180421947757015,0.566260296651462,114,52,33,29,0.611764705882353,0.5081583676800352,0.7153710440846708,USD_CAD,H4,100,1.0,14,long,377
