pair,tf,period,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
USD_PLN,H4,20,2,short,667,349,312,6,0.5279878971255674,0.4899300784496916,0.5660457158014431
USD_PLN,H4,20,3,short,553,293,255,5,0.5346715328467153,0.492908778461891,0.5764342872315396
USD_PLN,H4,20,4,short,486,258,223,5,0.5363825363825364,0.49181683547322796,0.5809482372918449
USD_PLN,H4,50,1,long,562,288,268,6,0.5179856115107914,0.4764512513159439,0.5595199717056388
USD_PLN,H4,50,2,long,405,210,191,4,0.5236907730673317,0.47480687347149364,0.5725746726631697
USD_PLN,H4,50,3,long,346,178,165,3,0.5189504373177842,0.4660734303453278,0.5718274442902407
USD_PLN,H4,50,4,long,303,160,140,3,0.5333333333333333,0.47687888102720266,0.589787785639464
USD_PLN,H4,50,1,short,563,269,286,8,0.4846846846846847,0.44310552066771536,0.526263848701654
USD_PLN,H4,50,2,short,409,201,204,4,0.4962962962962963,0.4476010407879338,0.5449915518046587
USD_PLN,H4,50,3,short,337,167,166,4,0.5015015015015015,0.44779807446620107,0.5552049285368019
USD_PLN,H4,50,4,short,302,147,152,3,0.4916387959866221,0.4349718574570663,0.5483057345161778
USD_PLN,H4,100,1,long,378,185,191,2,0.4920212765957447,0.44148807064859585,0.5425544825428935
