pair,tf,period,k,atr_period,direction,n,w,l,t,wr_decisive,ci_low,ci_high
USD_CHF,H4,50,1.5,14,long,494,197,260,37,0.4310722100656455,0.3856674318858633,0.4764769882454277
USD_CHF,H4,50,2.0,14,long,440,207,205,28,0.5024271844660194,0.4541466187093203,0.5507077502227186
USD_CHF,H4,50,2.5,14,long,332,155,164,13,0.48589341692789967,0.4310457927756196,0.5407410410801797
USD_CHF,H4,50,1.0,14,short,535,272,231,32,0.5407554671968191,0.49720482778295366,0.5843061066106845
USD_CHF,H4,50,1.5,14,short,459,222,213,24,0.5103448275862069,0.4633674818740996,0.5573221732983142
USD_CHF,H4,50,2.0,14,short,387,180,182,25,0.4972375690607735,0.4457306987188608,0.5487444394026861
USD_CHF,H4,50,2.5,14,short,318,158,125,35,0.558303886925795,0.5004463464224841,0.616161427429106
USD_CHF,H4,100,1.0,14,long,376,144,215,17,0.4011142061281337,0.35041339883844186,0.45181501341782554
USD_CHF,H4,100,1.5,14,long,372,153,197,22,0.43714285714285717,0.3851752364545863,0.48911047783112804
USD_CHF,H4,100,2.0,14,long,365,142,203,20,0.4115942028985507,0.35966404777599237,0.46352435802110903
USD_CHF,H4,100,2.5,14,long,360,144,200,16,0.4186046511627907,0.3664714189793189,0.47073788334626254
USD_CHF,H4,100,1.0,14,short,382,176,174,32,0.5028571428571429,0.45047479468526347,0.5552394910290224
USD_CHF,H4,100,1.5,14,short,361,166,171,24,0.49258160237388726,0.43920347677171084,0.5459597279760637
USD_CHF,H4,100,2.0,14,short,355,175,158,22,0.5255255255255256,0.4718918835100757,0.5791591675409754
USD_CHF,H4,100,2.5,14,short,306,149,134,23,0.5265017667844523,0.4683287010989946,0.5846748324699099
USD_CHF,H4,200,1.0,14,long,271,115,132,24,0.46558704453441296,0.4033790032332991,0.5277950858355268
USD_CHF,H4,200,1.5,14,long,272,117,138,17,0.4588235294117647,0.39766200874709967,0.5199850500764297
USD_CHF,H4,200,2.0,14,long,290,121,150,19,0.44649446494464945,0.38730554029590797,0.505683389593391
USD_CHF,H4,200,2.5,14,long,270,104,152,14,0.40625,0.34608629307581373,0.46641370692418627
USD_CHF,H4,200,1.0,14,short,263,125,122,16,0.5060728744939271,0.4437215672392536,0.5684241817486007
USD_CHF,H4,200,1.5,14,short,252,125,112,15,0.5274261603375527,0.46386415796566816,0.5909881627094373
USD_CHF,H4,200,2.0,14,short,258,140,101,17,0.5809128630705395,0.5186175730266469,0.643208153114432
USD_CHF,H4,200,2.5,14,short,244,125,104,15,0.5458515283842795,0.481364179378729,0.6103388773898301
NZD_USD,H4,20,1.0,14,long,776,386,388,2,0.49870801033591733,0.46348275535533484,0.5339332653164999
NZD_USD,H4,20,1.5,14,long,613,297,314,2,0.486088379705401,0.4464571722155832,0.5257195871952187
NZD_USD,H4,20,2.0,14,long,454,227,227,0,0.5,0.45400632106253463,0.5459936789374653
NZD_USD,H4,20,2.5,14,long,281,142,139,0,0.505338078291815,0.446879511485054,0.563796645098576
NZD_USD,H4,20,1.0,14,short,783,389,394,0,0.49680715197956576,0.46178552323717514,0.5318287807219564
NZD_USD,H4,20,1.5,14,short,630,309,321,0,0.49047619047619045,0.4514391393833544,0.5295132415690265
