tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
183,0.09153491651951895,0.0730934499877155,-0.05172824545640342,0.23479807849544132,79,0.012658227848101266,0.11321863177214125,-0.20925029042529558,0.23456674612149814,AUD_USD,10,2.5,long,262
182,-0.0395861508064408,0.0740750931591224,-0.1847733333983207,0.10560103178543911,79,-0.06329113924050633,0.11300069387656482,-0.2847724992385734,0.1581902207575607,AUD_USD,10,2.5,short,261
145,0.020689655172413793,0.08331549551457526,-0.14260871603615372,0.18398802638098127,63,0.09560505613400822,0.12540226505179256,-0.1501833833675052,0.3413934956355216,AUD_USD,10,3.0,long,208
144,-0.041666666666666664,0.08355157901479993,-0.20542776153567452,0.1220944282023412,63,-0.08601043156300847,0.12585793487064778,-0.33269198390947813,0.16067112078346119,AUD_USD,10,3.0,short,207
387,-0.0090268559805911,0.05070585302445552,-0.10841032790852392,0.09035661594734173,166,-0.03614457831325301,0.07779902505654444,-0.18863066742408013,0.1163415107975741,AUD_USD,14,1.5,long,553
386,-0.03348656855135898,0.050707381065909794,-0.1328730354405422,0.06589989833782421,166,0.03614457831325301,0.07779902505654444,-0.1163415107975741,0.18863066742408013,AUD_USD,14,1.5,short,552
262,-0.03286351904521785,0.0612981827252944,-0.15300795718679489,0.08728091909635917,113,0.01390822733893612,0.09413994651933662,-0.17060606783896365,0.1984225225168359,AUD_USD,14,2.0,long,375
261,0.026779585415067423,0.061580621072702756,-0.09391843188742997,0.14747760271756483,113,0.005714008882195847,0.09372387434521902,-0.17798478483443345,0.18941280259882512,AUD_USD,14,2.0,short,374
179,0.07123402079928473,0.07401930880554496,-0.07384382445958337,0.21631186605815284,77,-0.012987012987012988,0.11469819306919282,-0.2377954714026309,0.21182144542860493,AUD_USD,14,2.5,long,256
178,-0.006767862060518119,0.07496031252177061,-0.15369007460318854,0.14015435048215227,77,-0.06493506493506493,0.11446577501260036,-0.28928798395976163,0.15941785408963177,AUD_USD,14,2.5,short,255
145,0.006896551724137931,0.08333135154203153,-0.1564328972982439,0.17022600074651972,63,0.09560505613400822,0.12540226505179256,-0.1501833833675052,0.3413934956355216,AUD_USD,14,3.0,long,208
144,-0.013888888888888888,0.08361613500589882,-0.17777651350045057,0.14999873572267278,63,-0.02251836807094498,0.12629869505948202,-0.27006381038752975,0.22502707424563978,AUD_USD,14,3.0,short,207
383,-0.009121131238874034,0.05096858721223013,-0.1090195621748451,0.09077729969709702,165,-0.01818181818181818,0.07807397295496873,-0.1712068051735569,0.13484316880992053,AUD_USD,21,1.5,long,548
382,-0.018130406965509334,0.050990857154609597,-0.11807248698854414,0.08181167305752549,165,0.07878787878787878,0.07784414033104031,-0.07378663626096023,0.2313623938367178,AUD_USD,21,1.5,short,547
262,-0.04049710683147739,0.06128067879232853,-0.16060723726444132,0.07961302360148652,113,-0.021490002749559457,0.09412721852839141,-0.20597935106520662,0.16299934556608772,AUD_USD,21,2.0,long,375
261,0.016181840962593994,0.061707806850773705,-0.10476546046492247,0.13712914239011045,113,-0.01198510616205194,0.09371858734792592,-0.19567353736398674,0.17170332503988284,AUD_USD,21,2.0,short,374
179,0.03771446772665903,0.07415776691804823,-0.1076347554327155,0.18306369088603358,78,-0.07692307692307693,0.11362291475015328,-0.29962398983337735,0.1457778359872235,AUD_USD,21,2.5,long,257
179,0.003038622297755044,0.07464643066136746,-0.1432683817985252,0.14934562639403526,77,0.03896103896103896,0.11462077274780359,-0.18569567562465605,0.263617753546734,AUD_USD,21,2.5,short,256
143,0.02398367471782869,0.08369572960458846,-0.14005995530716467,0.18802730474282206,62,0.11327610542649222,0.12616981219784618,-0.1340167264812863,0.36056893733427076,AUD_USD,21,3.0,long,205
142,-0.03851322896155783,0.08392088035099218,-0.20299815444950253,0.12597169652638684,62,-0.006752535297895707,0.12734851689740692,-0.25635562841681325,0.24285055782102186,AUD_USD,21,3.0,short,204
382,0.03349066398618619,0.049177849998662135,-0.06289792201119158,0.12987924998356398,165,0.10828697101106234,0.07082111458065359,-0.030522413567018694,0.2470963555891434,USD_CAD,7,1.5,long,547
382,-0.025646029969823212,0.049496045290127556,-0.12265827873847322,0.0713662187988268,165,-0.18206328403634547,0.06901724038159032,-0.31733707518426246,-0.04678949288842846,USD_CAD,7,1.5,short,547
257,0.08613706530096722,0.059564949515436484,-0.030610235749288284,0.20288436635122273,111,0.09050185215562184,0.08716387609976745,-0.08033934499992235,0.26134304931116603,USD_CAD,7,2.0,long,368
