tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
17,-0.17647058823529413,0.24607647839237515,-0.6587804858843495,0.30583930941376114,8,0.18742741574280694,0.35275414783803644,-0.5039707140197445,0.8788255455053584,GBP_USD,10,3.0,long,25
19,0.2631578947368421,0.22739441047045122,-0.18253514978524232,0.7088509392589265,9,0.15002384571450658,0.33787852564550985,-0.5122180645506927,0.8122657559797059,GBP_USD,10,3.0,short,28
50,-0.028455018314501538,0.1416206976879633,-0.30603158578290957,0.2491215491539065,22,-0.11837183851364505,0.21190075375557346,-0.533697315874569,0.2969536388472789,GBP_USD,14,1.5,long,72
54,-0.04256924697678862,0.1365875300297634,-0.31028080583512485,0.22514231188154762,24,0.3479256088096066,0.1927911291333446,-0.02994500429174879,0.7257962219109619,GBP_USD,14,1.5,short,78
32,0.0,0.17960530202677488,-0.35202639197247876,0.35202639197247876,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,GBP_USD,14,2.0,long,47
35,-0.049884493238012514,0.16897476694614083,-0.38107503645244856,0.2813060499764235,15,0.41168418056019784,0.2338951642357657,-0.04675034134190292,0.8701187024622986,GBP_USD,14,2.0,short,50
27,0.1111111111111111,0.19490178206822872,-0.2708963817426172,0.4931186039648394,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,GBP_USD,14,2.5,long,39
25,0.32176926598741323,0.18891607451229905,-0.048506240056692906,0.6920447720315194,11,0.015932973491178837,0.30193202969105737,-0.5758538047032936,0.6077197516856513,GBP_USD,14,2.5,short,36
18,-0.3333333333333333,0.22866478019001182,-0.7815163025057565,0.11484963583908986,8,0.43742741574280697,0.3195610189546125,-0.18891218140823351,1.0637670128938475,GBP_USD,14,3.0,long,26
18,0.3333333333333333,0.2286647801900118,-0.1148496358390898,0.7815163025057564,9,-0.07219837650771563,0.3410626286790462,-0.7406811287186462,0.5962843757032149,GBP_USD,14,3.0,short,27
51,-0.004808993379605099,0.13789358389781822,-0.2750804178193288,0.2654624310601186,22,-0.11837183851364505,0.21190075375557346,-0.533697315874569,0.2969536388472789,GBP_USD,21,1.5,long,73
56,0.03037965470095383,0.13416417884505924,-0.2325821358353623,0.29334144523726996,24,0.2645922754762733,0.19846331441653878,-0.12439582078014272,0.6535803717326893,GBP_USD,21,1.5,short,80
29,0.034482758620689655,0.18886984741557453,-0.3357021423138364,0.4046676595552157,13,0.23076923076923078,0.2808833628231621,-0.319762160364167,0.7813006219026286,GBP_USD,21,2.0,long,42
36,-0.02072103509251217,0.16678348454985026,-0.3476166648102187,0.30617459462519436,16,0.32345391927518546,0.2359092163898814,-0.13892814484898208,0.785835983399353,GBP_USD,21,2.0,short,52
31,-0.16129032258064516,0.18018374250024446,-0.5144504578811243,0.19186981271983397,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,GBP_USD,21,2.5,long,45
22,0.18181818181818182,0.2145806706734845,-0.23875993270184775,0.6023962963382115,10,0.11752627084029672,0.3143351497575738,-0.49857062268454794,0.7336231643651414,GBP_USD,21,2.5,short,32
18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,8,0.43742741574280697,0.3195610189546125,-0.18891218140823351,1.0637670128938475,GBP_USD,21,3.0,long,26
18,0.1707703100108164,0.2320731456268985,-0.28409305541790464,0.6256336754395375,9,-0.07219837650771563,0.3410626286790462,-0.7406811287186462,0.5962843757032149,GBP_USD,21,3.0,short,27
58,0.1724137931034483,0.1304696969554369,-0.083306812929208,0.42813439913610457,25,0.04,0.20396078054371142,-0.3597631298656744,0.43976312986567434,AUD_USD,7,1.5,long,83
52,-0.17023331587012983,0.13664110183453262,-0.43804987546581375,0.09758324372555413,23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,AUD_USD,7,1.5,short,75
35,-0.2,0.16803361008336118,-0.529345875763388,0.1293458757633879,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,AUD_USD,7,2.0,long,50
32,0.0625,0.17925416718060672,-0.2888381676739892,0.4138381676739892,15,-0.3333333333333333,0.25197631533948484,-0.8272069113987236,0.16054024473205697,AUD_USD,7,2.0,short,47
25,0.013766281416254245,0.20047321642561505,-0.3791612227779513,0.40669378561045977,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,AUD_USD,7,2.5,long,37
22,0.18181818181818182,0.2145806706734845,-0.23875993270184775,0.6023962963382115,10,-0.4,0.3055050463303893,-0.998789890807563,0.19878989080756293,AUD_USD,7,2.5,short,32
14,0.2857142857142857,0.26578871697687523,-0.23523159956038975,0.8066601709889611,7,0.42857142857142855,0.36885555678165877,-0.29438546272062266,1.1515283198634798,AUD_USD,7,3.0,long,21
15,0.3333333333333333,0.25197631533948484,-0.16054024473205697,0.8272069113987236,7,-0.42857142857142855,0.3688555567816587,-1.1515283198634796,0.29438546272062255,AUD_USD,7,3.0,short,22
63,0.1746031746031746,0.1250492632872556,-0.07049338143984638,0.4196997306461956,28,0.14285714285714285,0.1904761904761905,-0.2304761904761905,0.5161904761904762,AUD_USD,10,1.5,long,91
47,-0.2765957446808511,0.14168970951745266,-0.5543075753350584,0.0011160859733561623,21,0.14285714285714285,0.2213133340689953,-0.29091699191808795,0.5766312776323737,AUD_USD,10,1.5,short,68
35,-0.14285714285714285,0.16973957879600132,-0.4755467172973054,0.1898324315830197,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,AUD_USD,10,2.0,long,50
32,0.1875,0.176419930663981,-0.1582830641014028,0.5332830641014028,15,-0.3333333333333333,0.25197631533948484,-0.8272069113987236,0.16054024473205697,AUD_USD,10,2.0,short,47
24,0.13933987647526483,0.2025761157573823,-0.2577093104092044,0.5363890633597341,11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,AUD_USD,10,2.5,long,35
23,0.043478260869565216,0.2129991080681025,-0.37399999094391567,0.46095651268304605,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,AUD_USD,10,2.5,short,33
17,0.29411764705882354,0.2389423060187047,-0.17420927273783765,0.7624445668554847,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,AUD_USD,10,3.0,long,25
15,0.4666666666666667,0.23637473611411156,0.0033721838830080286,0.9299611494503253,7,-0.7142857142857143,0.28571428571428575,-1.2742857142857145,-0.15428571428571425,AUD_USD,10,3.0,short,22
60,0.2,0.12755856082865613,-0.05001477922416603,0.45001477922416605,27,0.25925925925925924,0.18941048590991066,-0.11198529312416566,0.6305038116426842,AUD_USD,14,1.5,long,87
44,-0.22727272727272727,0.14850785802073693,-0.5183481289933717,0.06380267444791712,20,0.2,0.22478059477960655,-0.2405699657680288,0.6405699657680288,AUD_USD,14,1.5,short,64
37,-0.02702702702702703,0.16660578386402639,-0.35357436340051873,0.2995203093464647,16,-0.125,0.25617376914899,-0.6271005875320204,0.37710058753202036,AUD_USD,14,2.0,long,53
36,0.05555555555555555,0.16876979928266733,-0.2752332510384724,0.38634436214958356,16,-0.375,0.23935677693908453,-0.8441392828006057,0.09413928280060568,AUD_USD,14,2.0,short,52
23,-0.24590621585189756,0.2023949350441104,-0.6426002885383539,0.15078785683455884,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,AUD_USD,14,2.5,long,33
20,0.0,0.22941573387056172,-0.44965483838630094,0.44965483838630094,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,AUD_USD,14,2.5,short,29
18,0.3333333333333333,0.2286647801900118,-0.1148496358390898,0.7815163025057564,9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,AUD_USD,14,3.0,long,27
14,0.14285714285714285,0.2745054065230065,-0.39517345392794984,0.6808877396422355,7,-0.7142857142857143,0.28571428571428575,-1.2742857142857145,-0.15428571428571425,AUD_USD,14,3.0,short,21
60,0.13333333333333333,0.12902648671863043,-0.1195585806351823,0.38622524730184893,26,0.0,0.20000000000000004,-0.39200000000000007,0.39200000000000007,AUD_USD,21,1.5,long,86
44,-0.09090909090909091,0.1518671035608285,-0.38856861388831476,0.20675043207013297,19,0.15789473684210525,0.23274559932318592,-0.29828663783133913,0.6140761115155496,AUD_USD,21,1.5,short,63
37,-0.08108108108108109,0.16611791814942145,-0.4066722006539471,0.24451003849178493,17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,AUD_USD,21,2.0,long,54
38,0.020861940255209512,0.1622793120887916,-0.297205511438822,0.338929391949241,17,-0.4117647058823529,0.22782254977690689,-0.8582969034450905,0.034767491680384566,AUD_USD,21,2.0,short,55
21,-0.17408776021874495,0.2153734660648033,-0.5962197537057594,0.24804423326826947,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,AUD_USD,21,2.5,long,30
18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,AUD_USD,21,2.5,short,27
17,0.5294117647058824,0.21209125149788172,0.11371291177003418,0.9451106176417305,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,AUD_USD,21,3.0,long,25
